season_id,title,play_count,danmaku_count,coins,favorites,score,total_count,week,newest_ep_index,is_finish,area,arealimit,pub_time,season_status,copyright,tags,actor
5544,12岁。第二季,2630354,92457,3595,103075,,12,1,24,2,日本,0,2016-10-03 19:30:00,2,bilibili,校园 恋爱,加隈亜衣 斉藤壮馬 木村珠莉 堀江瞬 高橋杏奈 下地紫野 牧口真幸 原紗友里 柿原徹也
5755,无印：水都的守护神拉帝亚斯和拉帝欧斯,127581,4301,309,7023,,1,2,1,2,日本,0,2002-07-13 00:00:01,2,bilibili,,林原めぐみ 大谷育江 松本梨香
3425,三年E班 第二季 课外授课篇,2468543,13068,4635,86363,9.4,8,0,8,2,日本,0,2016-03-11 00:00:01,2,ugc,日常 校园 战斗 伪娘,福山润 渕上舞 冈本信彦 洲崎绫
5540,斯特拉的魔法,1450622,38981,9396,108758,8.6,12,1,12,2,日本,0,2016-10-03 22:30:00,2,bilibili,百合 萌系 校园 社团,長縄まりあ 前川涼子 悠木碧 小澤亜李 村川梨衣
5512,梦之祭,2488653,66298,2495,138150,,12,0,12,2,日本,0,2016-09-23 20:30:00,2,dujia,偶像 原创,石原壮馬 溝口琢矢 富田健太郎 太田将熙 正木郁 戸谷公人 株元英彰 森川智之
5859,妖狐×仆SS SP,861111,30801,1460,51357,9.6,1,4,1,2,日本,0,2012-01-13 00:00:01,2,ugc,恋爱,沢城みゆき、中村悠一 日高里菜 宮野真守 杉田智和 細谷佳正 江口拓也 山本兼平 増谷康紀
5597,星期一的丰满,16010076,83996,37918,577129,9.5,14,1,14,2,日本,0,2016-10-10 00:00:01,2,ugc,日常 漫改,原田彩楓 間島淳司 茅野愛衣 内匠靖明 津田美波 相馬康一 石上静香 金元寿子 Lynn
5560,魔法少女什么的已经够了啦。第二季,1649735,12515,5155,100053,8.4,12,3,12,2,日本,0,2016-10-05 21:38:00,2,dujia,泡面 日常 萌系 魔法 漫改,藤田茜 若井友希 大森日雅 田中美海 伊藤美来 西明日香
5530,Lostorage incited WIXOSS,2787108,56074,9439,232821,8.8,12,6,12,2,日本,0,2016-10-08 00:35:00,2,bilibili,致郁,橋本ちなみ 井口裕香 伊藤静 金元寿子 井澤詩織 久保ユリカ 興津和幸 菅原慎介 山岡ゆり
5561,网球并不可笑嘛 第八季,771540,2098,2469,43822,,12,3,12,2,日本,0,2016-10-05 21:30:00,2,dujia,泡面 搞笑 漫改,渡部優衣 三森すずこ 鳴海杏子 花澤香菜 小倉唯 石原夏織 喜多村英梨
5756,无印：雪拉比穿梭时空的相遇,100048,4178,185,6162,,1,2,1,2,日本,0,2001-07-07 00:00:01,2,bilibili,,大谷育江 石塚運昇、戸田恵子 松本梨香
5752,超世代： 梦幻与波导的勇者路卡利欧,122904,5928,280,6299,,1,2,1,2,日本,0,2005-07-16 00:00:01,2,bilibili,,犬山イヌコ
5494,精灵宝可梦 世代,3704981,16802,4618,60952,9.5,18,5,18,2,日本,0,2016-09-16 00:00:01,2,ugc,治愈 战斗,
5525,乌冬面之国的金色毛球,5266963,114147,18275,353182,9.3,12,0,12,2,日本,0,2016-10-09 03:30:00,2,bilibili,日常 治愈 漫改,中村悠一 古城門志帆 杉田智和 中原麻衣 福山潤 花澤香菜 皆口裕子 本渡楓 黒田崇矢
5516,编舟记,1685132,34040,11686,164885,9.5,11,4,11,2,日本,0,2016-10-13 00:00:01,2,ugc,励志 职场,樱井孝宏 坂本真綾 神谷浩史 金尾哲夫 麦人 榊原良子 斎藤千和 日笠陽子
5870,越狱兔 第3季,0,0,0,9110,,13,-1,1,2,日本,0,2008-10-13 00:00:01,2,ugc,泡面 搞笑 萌系,
5069,齐木楠雄的灾难,51823855,531772,89392,981494,9.7,24,1,24,2,日本,0,2016-07-11 01:35:00,13,bilibili,奇幻 校园,神谷浩史 岛崎信长 小野大辅 岩田光央 爱河里花子 茅野爱衣 田村由加莉 日野聪 花江夏树
5872,越狱兔 第5季,0,0,0,14944,9.6,13,-1,1,2,日本,0,2012-12-16 00:00:01,2,ugc,泡面 搞笑 萌系,
5522,超心动！艺术之星,2421848,69910,4263,132445,,13,0,13,2,日本,0,2016-10-02 00:00:01,2,bilibili,音乐 乙女,千本木彩花 梅原裕一郎 KENN 小野友樹 羽多野渉 蒼井翔太 江口拓也 小西克幸 大塚明夫
5555,Crane Game Girls 第二季,115893,3067,474,16333,,12,3,12,2,日本,0,2016-10-05 23:15:00,2,dujia,泡面 偶像 原创,佐々木李子 徳井青空 原奈津子 内田彩 佐々木未来 鈴木愛奈 八島さらら 影山灯
5517,钢铁交响乐,111921,1630,289,11085,,12,1,12,2,日本,0,2016-10-09 00:00:01,2,bilibili,泡面,斉藤壮馬 佐々木啓夫 筒井絵理奈 佐藤あずさ 松井恵理子 水原薫 榎木淳弥 畠山豪介 徳石勝大 中恵光城
5498,JOKER GAME SP,114205,927,564,12705,,2,2,2,2,日本,0,2016-07-27 00:00:01,2,ugc,推理,堀内賢雄 関智一 下野紘 木村良平 細谷佳正 森川智之 梶裕貴 福山潤 中井和哉
5764,火影忍者舞台剧 便服采访篇,91332,791,33,2655,,20,-1,20,2,日本,0,2016-12-14 00:00:01,2,cooperate,,
5507,WWW.迷糊餐厅,7933737,142482,30426,375206,8.9,13,0,13,2,日本,0,2016-10-02 00:00:00,2,bilibili,日常 搞笑 漫改 职场,中村悠一 戸松遥 内山昂輝 日笠陽子 水樹奈々 雨宮天 小野賢章 麻倉もも 小澤亜李
5514,ViVid Strike!,2385563,60434,8502,134049,7.8,12,0,12,2,日本,0,2016-10-02 02:00:00,2,bilibili,战斗 魔法,水瀬いのり 小倉唯 伊藤かな恵 斎藤千和 福圓美里 喜多村英梨 能登麻美子..
3673,阿茹茉妮,0,0,0,35652,9.6,1,6,1,2,日本,0,2014-03-01 00:00:01,2,bilibili,治愈 奇幻,松岡禎丞 上田麗奈 沼倉愛美 大地葉
5552,神装少女小缠,3634249,78552,11115,165186,7.8,12,2,SP2,2,日本,0,2016-10-04 23:30:00,2,bilibili,魔法 原创 神魔,諏訪彩花 大空直美 戸松遥 東地宏樹 川澄綾子 檜山修之 阿部敦
5063,DAYS,6092209,177499,11392,184078,8.0,24,0,24,2,日本,0,2016-07-03 02:58:00,2,bilibili,热血 运动 校园,吉永拓斗 松冈祯丞 浪川大辅 伊瀬茉莉也 佐仓绫音 小西克幸 樱井孝宏 小野大辅 宫野真守
5556,奇异太郎少年的妖怪绘日记,7354268,29434,8948,324142,9.5,12,3,12,2,日本,0,2016-10-05 21:33:00,2,dujia,泡面 后宫 漫改 神魔,五十嵐裕美 仲田ありさ 喜多村英梨 長縄まりあ 大原さやか
5534,我太受欢迎了该怎么办,19011096,726750,45445,857995,8.3,12,5,12,2,日本,0,2016-10-07 12:00:00,2,bilibili,校园 乙女 漫改,小林ゆう 小野友樹 河本啓佑 島﨑信長 松岡禎丞 沢城みゆき 浪川大輔 下田麻美 水島大宙
5869,越狱兔 第2季,0,0,0,9527,,13,-1,1,2,日本,0,2007-10-08 00:00:01,2,ugc,泡面 搞笑 萌系,
5763,阿松 SP 赛马轶事,504664,20503,2241,42595,9.5,1,-1,SP,2,日本,0,2016-12-13 14:30:00,13,bilibili,日常 搞笑,櫻井孝宏 中村悠一 神谷浩史 福山潤 小野大輔 入野自由 遠藤綾 鈴村健一 國立幸
5762,精灵宝可梦 XY,3928340,182635,4632,109359,8.9,92,4,Maga进化3,2,日本,0,2013-10-17 00:00:01,2,bilibili,热血 战斗 励志,松本梨香 牧口真幸 金井美香、伊瀬茉莉也 大谷育江 梶裕貴 佐藤恵 寺崎裕香 大谷育江
4815,GR铁甲人,31103,495,31,1808,,13,-1,13,2,日本,0,2007-01-19 00:00:01,2,ugc,科幻,四宮豪
5706,辛巴达 魔法之灯和移动岛,13828,168,13,3050,,1,6,1,2,日本,0,2016-01-16 00:00:01,2,ugc,奇幻,
3807,破刃之剑,427511,9656,482,45627,,12,-1,12,2,日本,0,2014-04-06 00:00:01,2,ugc,战斗 机战,中村悠一 斎藤千和 莱卡特
5757,无印：梦幻的精灵宝可梦洛奇亚爆诞,163740,6521,274,13354,,1,2,1,2,日本,0,1999-07-17 00:00:01,2,bilibili,,小建 松本梨香 大谷育江 拉普拉斯 犬山イヌコ
5708,大小姐搜查网,11408,234,21,1714,,1,1,1,2,日本,0,1996-04-01 00:00:01,2,ugc,,
5508,舞武器舞乱伎 星之巨人,2233777,37670,4890,107152,,12,6,12,2,日本,0,2016-10-01 22:00:00,2,bilibili,科幻 战斗 原创,小林裕介 小澤亜李 斉藤壮馬 石上静香 小松未可子 潘めぐみ 津田健次郎 日笠陽子 木村昴
5742,我的女神 战斗之翼,47175,632,80,3776,,2,0,2,2,日本,0,2007-12-08 00:00:01,2,ugc,后宫 治愈 奇幻,菊池正美 井上喜久子 久川綾 冬马由美
5551,吹響吧！上低音號 第二季（僅限台灣地區）,242583,19069,2265,85096,9.3,13,4,13,2,日本,0,2016-10-06 00:00:00,2,bilibili,音乐 校园 恋爱 社团,朝井彩加 豊田萌絵 安済知佳 黒沢ともよ 沼倉愛美 久川綾 櫻井孝宏 小堀幸 津田健次郎
5871,越狱兔 第4季,0,0,0,9396,,13,-1,1,2,日本,0,2011-03-26 00:00:01,2,ugc,泡面 搞笑 萌系,
5751,超世代：宝可梦保育家与苍海的王子 玛纳霏,101509,4046,193,7681,,1,2,1,2,日本,0,2006-07-15 00:00:01,2,bilibili,,松本梨香 犬山イヌコ
5838,魔天战神 OVA,11660,95,11,984,,2,3,2,2,日本,0,1995-11-22 00:00:01,2,ugc,,
5867,剧场版 魔法禁书目录炭 SP,399976,6404,773,40537,8.8,1,6,1,2,日本,0,2013-08-28 00:00:01,2,ugc,后宫 科幻 战斗 魔法,阿部敦 井口裕香 三澤紗千香 川澄綾子 日笠陽子 谷山紀章 岡本信彦 佐藤利奈 伊藤静
5750,钻石&珍珠：决战时空之塔帝牙卢卡VS帕路奇犽VS达克莱伊,136238,4942,254,6887,,1,2,1,2,日本,0,2007-07-14 00:00:01,2,bilibili,,豊口めぐみ 犬山イヌコ
5753,超世代：裂空的访问者代欧奇希斯,155708,5467,234,6683,,1,2,1,2,日本,0,2004-07-17 00:00:01,2,bilibili,,
5635,紧扣的星星,383434,10895,702,29675,9.6,2,1,2,2,日本,0,2010-08-16 00:00:01,2,ugc,,今井麻美 一色みく
5696,灵魂武器,597793,1495,186,37725,,5,1,5,2,日本,0,2016-03-01 00:00:01,2,ugc,战斗,茅野愛衣
5038,月歌,6169120,388499,19373,350152,9.5,13,3,13,2,日本,0,2016-07-06 23:00:00,2,bilibili,音乐 乙女 偶像,梶裕贵 鸟海浩辅 增田俊树 前野智昭 细谷佳正 KENN 苍井翔太 羽多野涉 柿原彻也 近藤隆 小野贤章..
5466,闪电十一人,199346,19795,290,10916,,26,-1,26,2,日本,0,2008-10-05 00:00:01,2,ugc,热血 运动 少儿,野島裕史 竹内順子 吉野裕行 梶裕貴 宮野真守 梶裕貴 西墻由香
5580,不在他处 正是此地,35321,705,143,11074,,1,-1,1,2,日本,0,2013-03-24 00:00:01,2,ugc,日常,
5407,Da!Da!Da!,251264,10468,429,10700,,39,2,78,2,日本,0,2000-04-04 00:00:01,2,ugc,少女 时泪,
3468,元气少女缘结神  过去篇,5906564,147492,15646,233155,9.6,4,-1,4,2,日本,0,2015-08-20 00:00:01,2,ugc,少女 奇幻,三森铃子 立花慎之介 岸尾大辅 冈本信彦 石田彰 高桥广树
5490,失忆症  SP,252439,12179,362,15295,,1,2,1,2,日本,0,2013-09-25 00:00:01,2,ugc,治愈 乙女,名塚佳織 柿原徹也 谷山紀章 石田彰 日野聡 宮田幸季 五十嵐裕..
3717,Anisun剧场「望实与君雄」,374031,5663,704,25169,,3,1,3,2,日本,0,2014-08-18 00:00:01,2,dujia,校园 恋爱,
4355,告白实行委员会 告白预演,1952624,20270,1746,160374,9.3,1,3,1,2,日本,0,2014-01-29 00:00:01,2,ugc,恋爱,神谷浩史 戸松遥 阿澄佳奈 梶裕貴 鈴村健一 豊崎愛生 麻倉もも
5480,那就是声优！SP,36604,1023,110,5155,,1,2,1,2,日本,0,2015-07-07 00:00:01,2,ugc,日常 漫改,高橋李依 高野麻里佳 長久友紀 生天目仁美 小清水亜美 古木のぞみ 佐倉綾音 神田朱未 ..
5499,乌龙派出所特别篇2016：THE FINAL 两津勘吉最后的一天,105730,3452,516,4047,,1,-1,1,2,日本,0,2016-09-18 09:00:00,2,bilibili,搞笑,ラサール石井 佐山陽規 森尾由美 宮本充
5059,棒球伙伴,627802,23183,1535,40397,,11,5,11,2,日本,0,2016-07-15 00:00:01,2,ugc,治愈 运动,内山昂辉 畠中祐 藤卷勇威 小野友树 木村良平 梅原裕一郎 村濑歩 石川界人 齐藤壮马
5027,NEW GAME!,14078644,511003,44993,823380,9.2,12,3,12,2,日本,0,2016-07-06 01:00:00,2,bilibili,百合 日常 萌系,高田忧希 日笠阳子 茅野爱衣 山口爱 户田惠 竹尾步美 朝日奈丸佳 森永千才 喜多村英梨
5567,悠哉日常大王 Repeat OAD,586240,4300,1971,110517,9.6,1,5,1,2,日本,0,2016-09-23 00:00:01,2,ugc,少女 日常,小岩井ことり 佐倉綾音 阿澄佳奈 村川梨衣
5422,史蒂文的宇宙 第三季,226504,4936,1279,8445,,25,4,20-21,2,美国,0,2016-05-12 00:00:01,2,ugc,科幻,
